vendor,product,eol_date,replacement
Palo Alto,Version,End-of-Life Date,
Palo Alto,145.16.x.x,2026-05-20,
Palo Alto,145.7.x.x,2026-05-13,
Palo Alto,144.27.x.x,2026-05-05,
Palo Alto,144.23.x.x,2026-04-28,
Palo Alto,144.15.x.x,2026-04-21,
Palo Alto,144.6.x.x,2026-04-14,
Palo Alto,143.37.x.x,2026-04-07,
Palo Alto,143.31.x.x,2026-03-31,
Palo Alto,143.24.x.x,2026-03-24,
Palo Alto,143.18.x.x,2026-03-17,
Palo Alto,143.12.x.x,2026-03-11,
Palo Alto,143.6.x.x,2026-03-03,
Palo Alto,142.33.x.x,2026-02-25,
Palo Alto,142.28.x.x,2026-02-16,
Palo Alto,142.21.x.x,2026-02-10,
Palo Alto,142.15.x.x,2026-02-04,
Palo Alto,142.7.x.x,2026-01-27,
Palo Alto,141.22.x.x,2026-01-20,
Palo Alto,141.19.x.x,2026-01-13,
Palo Alto,141.12.x.x,2026-01-06,
Palo Alto,141.6.x.x,2025-12-30,
Palo Alto,140.26.x.x,2025-12-23,
Palo Alto,140.21.x.x,2025-12-17,
Palo Alto,140.14.x.x,2025-12-09,
Palo Alto,140.7.x.x,2025-12-02,
Palo Alto,139.23.x.x,2025-11-25,
Palo Alto,139.18.x.x,2025-11-18,
Palo Alto,139.12.x.x,2025-11-11,
Palo Alto,139.7.x.x,2025-11-05,
Palo Alto,138.69.x.x,2025-10-28,
Palo Alto,138.64.x.x,2025-10-21,
Palo Alto,138.53.x.x,2025-10-14,
Palo Alto,138.47.x.x,2025-10-07,
Palo Alto,138.40.x.x,2025-09-29,
Palo Alto,138.33.x.x,2025-09-23,
Palo Alto,137.27.x.x,2025-09-16,
Palo Alto,137.20.x.x,2025-09-09,
Palo Alto,137.16.x.x,2025-09-01,
Palo Alto,137.8.x.x,2025-08-26,
Palo Alto,136.33.x.x,2025-08-19,
Palo Alto,136.24.x.x,2025-08-12,
Palo Alto,136.17.x.x,2025-08-05,
Palo Alto,136.11.x.x,2025-07-29,
Palo Alto,135.27.x.x,2025-07-22,
Palo Alto,135.16.x.x,2025-07-08,
Palo Alto,135.10.x.x,2025-07-01,
Palo Alto,134.29.x.x,2025-06-24,
Palo Alto,134.20.x.x,2025-06-18,
Palo Alto,134.17.x.x,2025-06-09,
Palo Alto,134.7.x.x,2025-06-03,
Palo Alto,133.36.x.x,2025-05-27,
Palo Alto,133.27.x.x,2025-05-20,
Palo Alto,133.16.x.x,2025-05-14,
Palo Alto,133.8.x.x,2025-05-06,
Palo Alto,132.x.3025.x,2025-04-29,
Palo Alto,132.x.3017.x,2025-04-22,
Palo Alto,132.x.3010.x,2025-04-15,
Palo Alto,131.x.2999.x,2025-04-08,
Palo Alto,131.x.2995.x,2025-04-01,
Palo Alto,131.x.2986.x,2025-03-26,
Palo Alto,131.x.2976.x,2025-03-19,
Palo Alto,131.x.2968.x,2025-03-11,
Palo Alto,131.x.2963.x,2025-03-04,
Palo Alto,131.x.2955.x,2025-02-26,
Palo Alto,131.x.2948.x,2025-02-18,
Palo Alto,131.x.2943.x,2025-02-12,
Palo Alto,130.x.2936.x,2025-02-04,
Palo Alto,130.x.2931.x,2025-01-28,
Palo Alto,130.x2926.x,2025-01-21,
Palo Alto,130.x2920.x,2025-01-14,
Palo Alto,129.x2913.x,2025-01-07,
Palo Alto,129.x2910.x,2024-12-31,
Palo Alto,129.x2903.x,2024-12-24,
Palo Alto,129.x2896.x,2024-12-17,
Palo Alto,128.x.2888.x,2024-12-10,
Palo Alto,128.x.2884.x,2024-12-02,
Palo Alto,128.x.2877.x,2024-11-27,
Palo Alto,128.x.2869.x,2024-11-19,
Palo Alto,127.x.2863.x,2024-11-12,
Palo Alto,127.x.2858.x,2024-11-05,
Palo Alto,127.x.2853.x,2024-10-29,
Palo Alto,127.x.2849.x,2024-10-22,
Palo Alto,126.x.2844.x,2024-10-15,
Palo Alto,126.x.2842.x,2024-10-08,
Palo Alto,126.x.2834.x,2024-10-02,
Palo Alto,126.x.2826.x,2024-09-23,
Palo Alto,126.x.2819.x,2024-09-17,
Palo Alto,126.x.2811.x,2024-09-10,
Palo Alto,125.x.2804.x,2024-08-29,
Palo Alto,12.1,2028-08-28,
Palo Alto,11.2,2027-05-02,
