vendor,productName,EOL Date,resource,Recommended replacement
Palo Alto,12.1,2025-08-28,"August 28, 2028", 
Palo Alto,11.2,2024-05-02,"May 2, 2027", 
Palo Alto,11.1,2023-11-03,"May 3, 2027", 
Palo Alto,11.0,2022-11-17,"November 17, 2024", 
Palo Alto,10.2,2022-02-27,"August 27, 2025", 
Palo Alto,10.1,2021-05-31,"December 1, 2024", 
Palo Alto,10.0,2020-07-16,"July 16, 2022", 
Palo Alto,9.1,2019-12-13,"June 30, 2024", 
Palo Alto,9.0-XFR (VM-Series only),2019-09-19,"September 19, 2020", 
Palo Alto,9.0,2019-02-06,"March 1, 2022", 
Palo Alto,8.1,2018-03-01,"March 1, 2022", 
Palo Alto,8.0,2017-01-29,"October 31, 2019", 
Palo Alto,7.1,2016-03-29,"June 30, 2020", 
Palo Alto,7.0,2015-06-04,"December 4, 2017", 
Palo Alto,6.1,2014-10-25,"October 25, 2018", 
Palo Alto,6.0,2014-01-19,"March 19, 2017", 
Palo Alto,5.1 (Panorama only),2013-05-09,"May 9, 2017", 
Palo Alto,5.0,2012-11-13,"November 13, 2016", 
Palo Alto,4.1,2011-10-31,"April 30, 2015", 
Palo Alto,4.0,2011-02-22,"December 31, 2014", 
Palo Alto,3.1,2010-03-15,"June 30, 2013", 
Palo Alto,3.0,2009-06-17,"December 17, 2010", 
Palo Alto,2.1,2009-01-05,"January 5, 2012", 
Palo Alto,2.0,2008-05-20,"May 20, 2009", 
Palo Alto,1.3,2007-11-15,"November 20, 2008", 
Palo Alto,GlobalProtect App version,,End-of-Engineering Date,End-of-Life Date
Palo Alto,6.3,,06/30/2028,06/30/2028
Palo Alto,6.2,,06/30/2027,06/30/2027
Palo Alto,6.1***,,03/01/2025,12/31/2025
Palo Alto,6.0**,,12/31/2025,12/31/2025
Palo Alto,5.3,,12/01/2022,06/01/2023
Palo Alto,5.2,,08/31/2023,02/28/2024
Palo Alto,5.1,,03/12/2021,12/31/2024
Palo Alto,5.0,,5/12/2020,2/12/2021
Palo Alto,4.1,,6/1/2019,3/1/2020
Palo Alto,4.0,,5/2/2018,1/30/2019
Palo Alto,3.1,,9/23/2017,6/23/2018
Palo Alto,3.0,,5/18/2017,2/15/2018
Palo Alto,End-of-Sale Product,,End-of-Life Date,Resources
Palo Alto,"LightCyber Magna Detector Virtual Appliance
(D-150V)",2017-12-31,"December 31, 2020",LightCyber Behavioral Analytics Datasheet
Palo Alto,"LightCyber Magna Probe Virtual Appliance
(P-50TV)",2017-12-31,"December 31, 2020",LightCyber Behavioral Analytics Datasheet
Palo Alto,LightCyber Magna Master Virtual Appliance (M-100V),2017-12-31,"December 31, 2020",LightCyber Behavioral Analytics Datasheet
Palo Alto,Platform,,End-of-Support Date,End-of-Life Date
Palo Alto,Evident.io,,07/31/2020,12/31/2020
Palo Alto,End-of-Sale Product,,End-of-Life Date,Resources
Palo Alto,"VM-Series Models
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)",2021-07-31,"July 31, 2024",Use Software NGFW Credits instead.
